lease_id,hostname,name,beg,end
2118,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-16 10:00:00,2016-03-16 11:00:00.000
2120,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-16 12:00:00,2016-03-16 13:00:00.000
2122,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-16 13:00:00,2016-03-16 14:00:00.000
381,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-16 14:00:00,2016-03-16 15:00:00.000
382,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-16 15:00:00,2016-03-16 16:00:00.000
2127,37nodes.r2lab.inria.fr,inria_walid.demo,2016-03-16 16:00:00,2016-03-16 17:00:00.000
385,37nodes.r2lab.inria.fr,inria_walid.demo,2016-03-16 19:00:00,2016-03-16 20:00:00.000
386,37nodes.r2lab.inria.fr,inria_walid.demo,2016-03-16 20:00:00,2016-03-16 21:00:00.000
2131,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-16 21:00:00,2016-03-16 23:00:00.000
2132,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-17 08:00:00,2016-03-17 09:00:00.000
390,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-17 11:00:00,2016-03-17 13:00:00.000
391,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-17 13:00:00,2016-03-17 14:00:00.000
2137,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-17 14:00:00,2016-03-17 15:00:00.000
395,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-17 15:00:00,2016-03-17 16:00:00.000
2140,37nodes.r2lab.inria.fr,inria_walid.demo,2016-03-17 17:00:00,2016-03-17 18:00:00.000
2141,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-17 19:00:00,2016-03-17 21:00:00.000
2142,37nodes.r2lab.inria.fr,inria_naoufal.mesh,2016-03-18 10:00:00,2016-03-18 11:00:00.000
2144,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-18 11:00:00,2016-03-18 12:00:00.000
402,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-18 12:00:00,2016-03-18 14:00:00.000
2147,37nodes.r2lab.inria.fr,inria_oai.b210,2016-03-18 14:00:00,2016-03-18 17:00:00.000
404,37nodes.r2lab.inria.fr,inria_walid.demo,2016-03-19 08:00:00,2016-03-19 23:00:00.000
406,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-20 13:00:00,2016-03-20 14:00:00.000
2151,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-20 15:00:00,2016-03-20 16:00:00.000
408,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-20 16:00:00,2016-03-20 17:00:00.000
2153,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-20 18:00:00,2016-03-20 19:00:00.000
411,37nodes.r2lab.inria.fr,inria_naoufal.mesh,2016-03-21 09:00:00,2016-03-21 11:00:00.000
419,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-21 11:00:00,2016-03-21 13:00:00.000
2166,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-21 13:00:00,2016-03-21 14:00:00.000
2167,37nodes.r2lab.inria.fr,inria_naoufal.mesh,2016-03-22 09:00:00,2016-03-22 12:00:00.000
2168,37nodes.r2lab.inria.fr,inria_naoufal.mesh,2016-03-22 13:00:00,2016-03-22 18:00:00.000
2169,37nodes.r2lab.inria.fr,inria_r2lab.tutorial,2016-03-22 18:00:00,2016-03-22 19:00:00.000
426,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-22 21:00:00,2016-03-22 22:00:00.000
427,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-22 22:00:00,2016-03-22 23:00:00.000
429,37nodes.r2lab.inria.fr,inria_naoufal.mesh,2016-03-23 08:00:00,2016-03-23 16:00:00.000
2200,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-23 16:00:00,2016-03-23 17:00:00.000
464,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-23 17:00:00,2016-03-23 18:00:00.000
468,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-23 18:00:00,2016-03-23 19:00:00.000
470,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-23 19:00:00,2016-03-23 20:00:00.000
2217,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-23 20:00:00,2016-03-23 21:00:00.000
2218,37nodes.r2lab.inria.fr,inria_mario.maintenance,2016-03-23 21:00:00,2016-03-23 22:00:00.000
2219,37nodes.r2lab.inria.fr,inria_r2lab.admin,2016-03-24 06:00:00,2016-03-24 07:00:00.000
